team_abbr,primary_color,secondary_color
ANA,#FC4C02,#FFFFFF
UTA,#6CACE4,#000000
BOS,#FFB81C,#000000
BUF,#003087,#FFFFFF
CGY,#C8102E,#FFFFFF
CAR,#CC0000,#FFFFFF
CHI,#CF0A2C,#FFFFFF
COL,#6F263D,#FFFFFF
CBJ,#002654,#FFFFFF
DAL,#006847,#FFFFFF
DET,#CE1126,#FFFFFF
EDM,#041E42,#FF4C00
FLA,#041E42,#FFFFFF
LAK,#111111,#FFFFFF
MIN,#154734,#FFFFFF
MTL,#AF1E2D,#FFFFFF
NSH,#FFB81C,#000000
NJD,#CE1126,#FFFFFF
NYI,#00539B,#FFFFFF
NYR,#0038A8,#FFFFFF
OTT,#E31837,#FFFFFF
PHI,#F74902,#000000
PIT,#FCB514,#000000
SEA,#99D9D9,#041C2C
SJS,#006D75,#FFFFFF
STL,#002F87,#FFFFFF
TBL,#002868,#FFFFFF
TOR,#00205B,#FFFFFF
VAN,#00205B,#FFFFFF
VGK,#B4975A,#000000
WSH,#041E42,#C8102E
WPG,#041E42,#FFFFFF
