team_abbr,team_name,conference,division,logo,wins,losses,ot_losses,games_played,points,point_pctg,win_pctg,clinch,goals_for,goals_against,goal_diff,streak_type,streak_length,regulation_wins,reg_ot_wins,shootout_wins,shootout_losses,home_games_played,home_wins,home_losses,home_ot_losses,home_points,home_goals_for,home_goals_against,home_goal_diff,road_games_played,road_wins,road_losses,road_ot_losses,road_points,road_goals_for,road_goals_against,road_goal_diff,l10_wins,l10_losses,l10_ot_losses,l10_points,l10_goals_for,l10_goals_against,l10_goal_diff,power_play_pct,power_play_goals,pp_goals_per_game,pp_opportunities,sh_goals_against,pp_net_goals,period1GoalsFor,period2GoalsFor,period3GoalsFor,periodOtGoalsFor,period1GoalsAgainst,period2GoalsAgainst,period3GoalsAgainst,periodOtGoalsAgainst,faceoff_win_pct,defensive_zone_faceoff_pct,neutral_zone_faceoff_pct,offensive_zone_faceoff_pct,pp_faceoff_pct,sh_faceoff_pct,total_faceoffs
WPG,Winnipeg Jets,Western,Central,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,56,22,4,82,116,0.707317,0.682927,p,277,191,86,W,1,43,11,2,1,41,30,7,4,64,139,81,58,41,26,15,0,52,138,110,28,7,3,0,14,28,19,9,0.27203,71,0.74736,261,4,67,83,98,117,12,69,71,86,4,0.49041,0.47687,0.47942,0.51262,0.52927,0.43981,5216
WSH,Washington Capitals,Eastern,Metropolitan,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,51,22,9,82,111,0.676829,0.621951,z,288,232,56,L,1,43,6,2,3,41,26,9,6,58,153,119,34,41,25,13,3,53,135,113,22,4,6,0,8,27,44,-17,0.22891,57,0.61956,249,7,50,95,93,116,7,82,86,81,7,0.50019,0.49655,0.49681,0.50727,0.5388,0.43737,5176
VGK,Vegas Golden Knights,Western,Pacific,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,50,22,10,82,110,0.670732,0.609756,y,275,219,56,W,1,46,3,1,5,41,29,9,3,61,147,100,47,41,21,13,7,49,128,119,9,6,2,2,14,28,25,3,0.27981,61,0.65591,218,4,57,92,86,119,5,77,86,79,7,0.5035,0.49665,0.48963,0.52056,0.55025,0.45189,5277
TOR,Toronto Maple Leafs,Eastern,Atlantic,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,52,26,4,82,108,0.658537,0.634146,y,268,231,37,W,5,41,10,1,2,41,27,13,1,55,129,104,25,41,25,13,3,53,139,127,12,9,1,0,18,32,15,17,0.24313,62,0.65263,255,9,53,84,110,97,12,77,87,103,4,0.54154,0.53074,0.53262,0.56181,0.60411,0.49361,5283
DAL,Dallas Stars,Western,Central,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,50,26,6,82,106,0.646341,0.609756,x,277,224,53,L,4,41,7,2,2,41,28,10,3,59,141,103,38,41,22,16,3,47,136,121,15,3,5,2,8,31,37,-6,0.23762,72,0.72,303,6,66,92,103,115,10,83,98,97,4,0.52157,0.51178,0.51724,0.53642,0.53258,0.45857,5909
LAK,Los Angeles Kings,Western,Pacific,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,48,25,9,82,105,0.640244,0.585366,x,250,206,44,L,1,43,4,1,3,41,31,6,4,66,143,84,59,41,17,19,5,39,107,122,-15,8,2,0,16,43,21,22,0.19823,45,0.51136,227,6,39,79,88,102,4,50,79,94,7,0.50726,0.50491,0.50795,0.50907,0.64415,0.45248,4954
TBL,Tampa Bay Lightning,Eastern,Atlantic,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,47,27,8,82,102,0.621951,0.573171,x,294,219,75,L,1,41,4,2,3,41,29,8,4,62,161,93,68,41,18,19,4,40,133,126,7,5,2,3,13,35,27,8,0.248,62,0.71264,250,13,49,95,105,100,4,65,83,82,5,0.50119,0.50455,0.50794,0.49209,0.49764,0.50125,5036
COL,Colorado Avalanche,Western,Central,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,49,29,4,82,102,0.621951,0.597561,x,277,234,43,W,1,40,5,4,3,41,26,12,3,55,145,115,30,41,23,17,1,47,132,119,13,5,4,1,11,33,28,5,0.23828,61,0.68539,256,7,54,78,97,117,5,80,79,90,3,0.47415,0.47963,0.46019,0.48055,0.50717,0.45049,5165
EDM,Edmonton Oilers,Western,Pacific,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,48,29,5,82,101,0.615854,0.585366,x,259,236,23,W,1,36,12,0,1,41,25,13,3,53,134,121,13,41,23,16,2,48,125,115,10,7,3,0,14,26,23,3,0.241,67,0.64423,278,5,62,91,125,108,17,107,98,98,5,0.5024,0.49408,0.49771,0.51308,0.5605,0.44763,5824
CAR,Carolina Hurricanes,Eastern,Metropolitan,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,47,30,5,82,99,0.603659,0.573171,x,266,233,33,L,3,42,5,0,3,41,31,9,1,63,155,101,54,41,16,21,4,36,111,132,-21,3,6,1,7,34,41,-7,0.19463,58,0.59793,298,5,53,76,108,119,7,86,82,98,3,0.52535,0.52024,0.52353,0.53095,0.53968,0.45402,5836
FLA,Florida Panthers,Eastern,Atlantic,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,47,31,4,82,98,0.597561,0.573171,x,252,223,29,L,2,37,4,6,0,41,27,12,2,56,130,99,31,41,20,19,2,42,122,124,-2,3,6,1,7,21,29,-8,0.23974,76,0.7238,317,10,66,103,120,111,6,87,88,98,6,0.49,0.46897,0.50623,0.49427,0.51027,0.40925,6251
OTT,Ottawa Senators,Eastern,Atlantic,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,45,30,7,82,97,0.591463,0.54878,x,243,234,9,W,1,35,9,1,2,41,27,11,3,57,139,113,26,41,18,19,4,40,104,121,-17,6,2,2,14,32,26,6,0.23591,67,0.76136,284,3,64,76,83,89,10,71,81,92,7,0.52422,0.52751,0.52034,0.52422,0.56831,0.55102,5036
MIN,Minnesota Wild,Western,Central,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,45,30,7,82,97,0.591463,0.54878,x,228,239,-11,W,2,33,9,3,3,41,22,17,2,46,111,124,-13,41,23,13,5,51,117,115,2,5,3,2,12,32,35,-3,0.21004,46,0.52272,219,6,40,73,68,94,9,68,79,101,6,0.46752,0.4521,0.4841,0.46881,0.47631,0.40979,4819
STL,St. Louis Blues,Western,Central,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,44,30,8,82,96,0.585366,0.536585,x,254,233,21,W,1,32,8,4,2,41,24,14,3,51,134,110,24,41,20,16,5,45,120,123,-3,7,2,1,15,36,25,11,0.22171,49,0.55056,221,5,44,87,91,91,8,80,69,96,7,0.51614,0.50482,0.53981,0.50613,0.52429,0.51912,4923
CGY,Calgary Flames,Western,Pacific,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,41,27,14,82,96,0.585366,0.5,e,225,238,-13,W,4,31,5,5,2,41,23,12,6,52,122,113,9,41,18,15,8,44,103,125,-22,7,1,2,16,35,24,11,0.2103,49,0.59756,233,6,43,55,67,93,5,64,71,89,12,0.46244,0.46039,0.45576,0.46947,0.53504,0.41891,5019
NJD,New Jersey Devils,Eastern,Metropolitan,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,42,33,7,82,91,0.554878,0.512195,x,242,222,20,L,1,36,4,2,2,41,19,17,5,43,118,113,5,41,23,16,2,48,124,109,15,5,5,0,10,28,32,-4,0.26406,61,0.70114,231,5,56,58,95,93,5,62,74,97,6,0.49917,0.49939,0.48592,0.51081,0.54773,0.47836,4878
MTL,Montréal Canadiens,Eastern,Atlantic,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,40,31,11,82,91,0.554878,0.487805,x,245,265,-20,W,1,30,8,2,4,41,23,12,6,52,125,126,-1,41,17,19,5,39,120,139,-19,7,1,2,16,29,21,8,0.20883,52,0.5977,249,6,46,68,87,92,8,88,90,93,8,0.50814,0.51784,0.50967,0.49622,0.49534,0.48117,4847
VAN,Vancouver Canucks,Western,Pacific,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,38,30,14,82,90,0.54878,0.463415,e,236,253,-17,L,1,28,7,3,2,41,17,16,8,42,112,128,-16,41,21,14,6,48,124,125,-1,4,4,2,10,30,34,-4,0.22522,50,0.60975,222,7,43,70,76,80,7,64,76,99,12,0.4886,0.48027,0.4804,0.50453,0.5,0.44282,4519
UTA,Utah Hockey Club,Western,Central,https://assets.nhle.com/logos/nhl/svg/UTA_20242025-20242025_light.svg,38,31,13,82,89,0.542683,0.463415,e,241,251,-10,L,1,30,7,1,4,41,18,15,8,44,118,119,-1,41,20,16,5,45,123,132,-9,6,2,2,14,38,27,11,0.24152,57,0.69512,236,8,49,67,85,81,7,58,92,88,9,0.51568,0.53827,0.50807,0.50085,0.53493,0.54444,4813
CBJ,Columbus Blue Jackets,Eastern,Metropolitan,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,40,33,9,82,89,0.542683,0.487805,e,273,268,5,W,6,30,4,6,1,41,26,10,5,57,165,124,41,41,14,23,4,32,108,144,-36,7,3,0,14,39,26,13,0.19459,36,0.43902,185,7,29,76,99,88,4,69,100,90,8,0.47778,0.47949,0.48404,0.47029,0.54574,0.44827,4682
DET,Detroit Red Wings,Eastern,Atlantic,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,39,35,8,82,86,0.52439,0.47561,e,238,259,-21,OT,1,30,6,3,0,41,22,16,3,47,128,125,3,41,17,19,5,39,110,134,-24,6,2,2,14,30,28,2,0.27004,64,0.78048,237,7,57,78,66,85,6,80,83,88,8,0.48973,0.48557,0.47372,0.50697,0.56127,0.49342,4629
