player_id,player,positionCode,sweaterNumber,team,team_abbr,headshot
8479994,Jaret Anderson-Dolan,C,28,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8479994.png
8480289,Morgan Barron,C,36,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480289.png
8478398,Kyle Connor,L,81,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8478398.png
8484135,Parker Ford,C,73,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8484135.png
8481019,David Gustafsson,C,N/A,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8481019.png
8480113,Alex Iafallo,L,9,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480113.png
8481043,Cole Koepke,L,N/A,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8481043.png
8480845,Rasmus Kupari,C,15,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480845.png
8476392,Adam Lowry,C,17,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476392.png
8476480,Vladislav Namestnikov,C,7,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476480.png
8475799,Nino Niederreiter,R,62,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8475799.png
8474679,Gustav Nyquist,C,N/A,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8474679.png
8476871,Tanner Pearson,L,N/A,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476871.png
8482149,Cole Perfetti,C,91,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8482149.png
8476460,Mark Scheifele,C,55,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476460.png
8479972,Mason Shaw,C,23,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8479972.png
8473604,Jonathan Toews,C,19,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8473604.png
8480014,Gabriel Vilardi,C,13,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480014.png
8484242,Brayden Yager,C,29,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8484242.png
8476331,Dylan DeMelo,D,2,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476331.png
8477938,Haydn Fleury,D,24,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8477938.png
8481572,Ville Heinola,D,14,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8481572.png
8476525,Colin Miller,D,6,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476525.png
8477504,Josh Morrissey,D,44,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8477504.png
8482192,Isaak Phillips,D,N/A,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8482192.png
8480145,Neal Pionk,D,4,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480145.png
8483510,Elias Salomonsson,D,57,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8483510.png
8480049,Dylan Samberg,D,54,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8480049.png
8474568,Luke Schenn,D,5,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8474568.png
8479378,Logan Stanley,D,64,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8479378.png
8477480,Eric Comrie,G,1,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8477480.png
8476945,Connor Hellebuyck,G,37,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8476945.png
8483659,Isaac Poulter,G,N/A,Winnipeg Jets,WPG,https://assets.nhle.com/mugs/nhl/20252026/WPG/8483659.png
8478463,Anthony Beauvillier,L,72,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8478463.png
8475343,Nic Dowd,C,26,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8475343.png
8479400,Pierre-Luc Dubois,L,80,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8479400.png
8479520,Brandon Duhaime,R,22,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8479520.png
8483573,Ethen Frank,C,53,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8483573.png
8484186,Ryan Leonard,R,9,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8484186.png
8481580,Connor McMichael,C,24,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8481580.png
8477947,Sonny Milano,L,15,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8477947.png
8471214,Alex Ovechkin,L,8,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8471214.png
8481656,Aliaksei Protas,C,21,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8481656.png
8482088,Justin Sourdif,R,34,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8482088.png
8478440,Dylan Strome,C,17,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8478440.png
8476880,Tom Wilson,R,43,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8476880.png
8474590,John Carlson,D,74,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8474590.png
8480990,Declan Chisholm,D,47,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8480990.png
8479345,Jakob Chychrun,D,6,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8479345.png
8480796,Martin Fehérváry,D,42,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8480796.png
8475795,Dylan McIlrath,D,52,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8475795.png
8478911,Matt Roy,D,3,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8478911.png
8480873,Rasmus Sandin,D,38,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8480873.png
8477845,Trevor van Riemsdyk,D,57,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8477845.png
8479292,Charlie Lindgren,G,79,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8479292.png
8480313,Logan Thompson,G,48,Washington Capitals,WSH,https://assets.nhle.com/mugs/nhl/20252026/WSH/8480313.png
8477964,Ivan Barbashev,C,49,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477964.png
8481604,Pavel Dorofeyev,L,16,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481604.png
8478403,Jack Eichel,C,9,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478403.png
8476881,Tomas Hertl,C,48,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476881.png
8482125,Alexander Holtz,R,26,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482125.png
8479353,Brett Howden,C,21,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479353.png
8476448,William Karlsson,C,71,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476448.png
8478434,Keegan Kolesar,R,55,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478434.png
8479550,Tanner Laczynski,C,28,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479550.png
8481534,Raphael Lavoie,C,36,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481534.png
8478483,Mitch Marner,R,93,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478483.png
8481133,Cole Reinhardt,L,N/A,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481133.png
8480007,Jonas Rondbjerg,R,46,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8480007.png
8476438,Brandon Saad,L,20,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476438.png
8481655,Cole Schwindt,R,22,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481655.png
8476925,Colton Sissons,C,N/A,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476925.png
8475191,Reilly Smith,R,19,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475191.png
8475913,Mark Stone,R,61,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475913.png
8479639,Dylan Coghlan,D,52,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479639.png
8482141,Lukas Cormier,D,51,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482141.png
8478396,Noah Hanifin,D,15,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478396.png
8477018,Ben Hutton,D,17,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477018.png
8481527,Kaedan Korczak,D,6,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481527.png
8478468,Jeremy Lauzon,D,N/A,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478468.png
8475188,Brayden McNabb,D,3,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475188.png
8477034,Jaycob Megna,D,24,Vegas Golden Knights,VGK,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477034.png
